Viz,Hear,Wheelchair,Autism,Hands,Strangers,Computers,Creativity
1,0,1,0,1,0,1,0
1,1,1,1,1,1,0,0
0,0,1,0,0,0,0,1
1,1,1,1,0,0,0,1
1,0,0,1,1,0,1,1
0,0,0,1,1,1,0,1
1,1,0,1,1,0,1,1
1,1,1,0,0,1,0,0
0,1,1,0,1,1,1,1
0,1,1,1,0,0,1,0
1,0,1,1,1,0,0,1
0,1,0,0,1,0,1,0
1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,1
1,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0
1,1,0,0,0,1,1,0
0,1,1,0,0,1,1,0
1,0,1,1,1,1,0,0
1,1,1,0,1,0,1,1
1,1,0,1,1,0,1,0
0,0,0,1,0,1,1,0
0,1,0,1,0,1,0,0
1,0,1,0,1,1,1,1
1,0,1,0,1,0,1,1
0,1,0,0,0,0,1,0
1,1,0,0,1,0,1,0
1,1,0,0,0,0,0,0
0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,1
1,0,0,1,1,1,1,0
0,1,0,1,0,0,0,1
1,1,0,0,0,1,0,1
1,0,1,1,1,0,1,1
1,0,1,0,0,1,0,1
0,0,1,1,0,1,0,1
1,1,1,0,1,0,1,1
0,0,1,1,0,0,1,0
0,1,0,0,0,1,0,1
0,1,1,0,0,1,1,0
0,1,0,1,1,0,1,1
1,0,1,0,1,1,1,0
1,0,1,1,1,1,0,1
1,1,1,0,1,1,1,1
1,0,1,0,0,1,1,1
0,0,1,1,1,1,1,1
1,1,0,0,0,1,0,1
0,0,0,0,0,1,1,1
0,0,1,0,0,1,1,0
0,0,1,1,0,1,1,0
0,0,1,1,0,0,1,1
0,1,0,1,0,0,0,0
1,0,0,1,1,1,1,1
0,0,1,0,0,1,0,0
0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,0
0,1,1,1,0,0,0,0
0,0,1,0,1,1,1,1
0,1,0,1,1,1,1,0
0,1,0,1,1,0,0,0
0,0,0,1,1,0,1,1
0,1,0,0,0,1,1,0
0,0,1,1,0,1,0,1
1,0,1,0,0,1,0,1
1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0
1,0,0,0,0,0,1,1
0,1,0,0,1,1,0,1
0,1,1,0,0,1,1,0
1,1,0,1,0,0,0,1
0,0,1,0,1,1,1,0
1,0,0,1,0,0,0,1
0,0,1,0,1,1,1,1
1,1,0,0,1,0,1,0
0,0,1,1,0,0,0,0
0,1,0,1,0,1,1,1
1,0,1,0,1,1,0,0
1,1,0,0,1,1,0,1
0,0,1,1,1,0,0,0
0,0,0,0,0,0,1,1
1,1,0,1,1,0,0,1
1,0,0,0,1,1,0,0
1,0,1,1,0,1,1,0
1,0,1,1,0,0,1,0
1,1,0,1,1,0,0,0
0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0
1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1
0,1,0,0,1,0,1,0
0,1,1,1,0,1,1,1
0,1,1,1,1,1,0,1
1,1,0,0,1,1,1,1
0,0,0,1,1,0,1,1
0,0,1,1,1,0,1,1
0,1,0,0,0,0,1,1
0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1
0,1,1,0,1,1,0,1
0,0,0,1,0,0,1,0
0,1,1,1,0,1,1,1
1,1,0,1,1,1,0,1
1,1,1,0,0,0,1,0
0,1,1,0,1,0,0,0
1,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1
1,0,0,1,1,0,1,0
1,0,0,0,1,1,1,0
0,1,0,0,1,0,0,0
1,1,1,0,1,1,0,1
1,1,0,0,1,1,0,0
1,1,0,1,1,1,1,0
1,0,1,0,1,0,0,1
0,1,0,0,1,0,0,0
0,0,1,0,0,1,1,1
1,0,1,1,1,1,1,0
1,0,0,0,0,1,1,0
1,1,0,0,0,0,1,1
1,0,1,0,0,0,0,1
0,1,1,1,1,0,1,0
1,1,0,1,1,1,1,1
0,1,0,1,1,1,0,0
0,1,0,0,1,0,1,0
0,1,1,1,0,1,1,0
1,0,1,1,1,1,0,0
0,1,1,0,0,1,0,0
0,0,0,0,0,1,1,1
1,1,0,1,1,0,1,0
0,1,0,1,0,1,0,0
1,0,0,1,0,1,0,0
0,0,1,0,1,1,0,0
1,1,1,0,1,0,0,0
0,0,1,0,0,1,1,1
1,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0
1,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,1
0,0,0,1,1,1,0,0
1,1,1,1,0,0,1,0
1,0,0,0,1,0,0,1
0,0,1,1,0,1,1,0
1,0,0,0,1,1,0,0
0,0,1,0,1,1,1,0
1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0
0,1,1,1,1,1,1,0
1,1,0,1,1,0,1,0
1,1,0,0,1,1,0,0
1,0,0,1,0,0,1,1
